Metacritic,RecommendationCount,SteamSpyOwners
88,68991,13033334
0,2439,5399140
79,2319,7621102
0,888,7498965
0,2934,5399499
0,1965,7488563
96,12486,5927504
65,7067,10489261
65,7067,10489261
71,2219,5368650
96,35792,9901173
88,53931,15433570
0,2547,2983660
80,7185,6400269
0,4328,14001822
0,4352,14844765
0,864,6796273
87,4437,6298399
90,27535,9795716
90,6104,5735062
92,383949,37878812
89,9980,4473517
89,140726,15574539
90,590480,90687580
95,73128,8741499
77,14625,4819841
95,73128,8741499
83,1427633,25833156
69,0,35332
81,1220,940689
72,44364,3496958
75,385,219883
75,385,219883
75,385,219883
84,444,674354
75,1240,728339
84,1655,811736
76,340,619832
82,112,53087
79,0,69946
0,0,0
80,299,106175
84,400,113708
56,210,43403
68,204,69408
77,389,119806
0,10079,1146403
73,412,236024
65,2399,942661
72,2776,966156
72,2776,966156
0,656,319063
81,509,173790
0,1061,288035
0,2000,446580
0,389,374123
83,1279,443890
94,1266,340047
0,660,318525
0,0,279247
0,0,278171
69,0,317987
0,158,184551
0,0,178632
0,241,185089
76,5026,1364671
0,706,1327366
73,716,116936
74,973,565669
69,0,72637
69,0,72637
0,291,137920
0,291,137920
0,291,137920
61,129,63310
59,984,312427
80,3983,544326
76,351,70664
91,851,223470
86,1307,340226
87,318,189034
81,2579,799182
82,109,22598
0,0,26544
74,181,45196
72,183,231540
71,280,357802
73,1262,544147
67,136,206611
0,0,199975
33,5637,218806
0,0,40354
0,0,40712
84,0,38740
76,2870,417346
0,0,30669
82,116,48245
72,501,104381
0,0,28158
77,228,243198
82,308,369998
81,0,24033
57,103,30669
69,321,89854
65,374,256111
0,0,53805
0,0,37663
0,414,86626
0,118,55598
0,0,26544
0,0,36587
0,0,26006
0,0,27799
0,159,124110
0,0,25826
0,0,40712
0,0,24930
0,0,27261
0,0,26544
0,0,28158
0,0,26006
0,682,303818
0,618,203024
0,0,24750
0,0,27261
0,0,27261
0,0,26723
0,0,25647
76,248,209839
78,0,36049
0,0,24392
0,0,24212
87,6207,1169180
0,124,116398
0,0,18294
78,225,102767
76,866,421292
55,425,62772
75,1195,220241
0,1084,184013
70,226,47169
65,307,66718
67,224,67256
87,5130,1413633
94,887,1422601
90,1328,1097619
88,1641,800437
67,0,41788
67,143,75686
84,0,1174560
0,237684,12790674
0,0,3228
0,126,250551
0,126,250551
0,0,138996
80,0,36408
62,0,38201
0,0,24212
0,0,33897
82,4657,1029825
80,104,111376
70,0,108686
77,2218,1594238
80,2216,1047402
93,3856,2972719
86,2212,1596749
87,1715,1023010
88,5418,1794751
78,891,482988
92,5160,1632799
79,266,760442
85,549,0
65,153,51832
60,726,164284
74,0,79273
74,135,100436
69,223,101691
0,0,9147
80,7873,1680326
80,7873,1680326
78,3763,1206485
0,373,154420
81,3535,1536488
89,1433,1217963
0,370,133974
78,16580,2466416
70,151,17935
78,0,19549
67,1232,525494
67,1232,525494
81,846,166257
0,0,50935
72,1241,309737
70,453,67077
35,161,41609
75,397,148143
91,737,220421
79,1381,682066
68,0,32462
77,333,81604
66,499,460570
66,1401,225442
0,0,45734
0,854,468999
0,244,435819
87,877,534103
72,415,499489
87,1144,1309073
82,3895,1454166
76,214,364259
75,1565,1269616
73,1049,1134565
90,3706,1198773
80,679,876302
85,860,678121
82,921,860519
76,110,67615
69,157,70484
81,721,198002
80,633,129849
74,212,120344
0,0,114425
61,0,21343
0,0,1973
54,1846,547734
76,3331,945172
0,221,207687
77,1097,531772
80,273,226877
89,296,175763
0,272,615528
0,296,609251
96,16260,3635595
0,0,586294
0,1289,697311
65,201,585756
80,1203,338074
53,0,42685
63,506,112990
92,5983,1056728
0,0,14527
83,1111,904281
67,1136,429722
58,0,63490
80,1079,936922
74,897,276557
84,27899,4240721
0,176,155496
0,0,152985
0,0,152985
0,253,114604
0,0,150116
0,0,149936
82,0,146170
80,0,145273
79,0,145273
85,0,145632
0,0,145811
68,0,51653
76,0,51115
0,0,52370
82,175,165181
0,0,165002
0,0,165002
0,0,166078
0,0,165002
76,507,167333
88,4269,592571
83,1637,1139587
0,0,0
0,132,91468
86,780,1193213
88,7624,3219325
94,55512,4619328
90,242,252524
0,0,229926
90,85750,9711421
0,0,17756
81,15545,3134313
0,122,226519
88,1533,356188
0,0,280682
0,118,281579
87,1645,412863
0,137,186703
0,181,443890
0,510,208225
79,8176,1325035
79,8176,1325035
0,377,972254
87,457,2384453
86,782,829851
81,2834,905357
0,2696,1043994
73,438,219165
72,6867,2305360
80,219,307943
66,0,64745
67,0,24392
74,0,27440
69,450,81066
0,0,34435
74,1518,229747
72,2160,777480
76,7304,1604461
72,5972,419499
52,670,64387
0,0,7533
0,0,7712
67,0,26185
43,105,20805
83,13072,1526265
0,0,74071
0,103,101512
0,0,5560
71,571,113349
0,0,10402
79,2122,482271
86,22223,5137828
86,22223,5137828
24,1045,74251
0,0,9506
0,0,8071
0,0,9326
0,0,8788
0,480,97387
67,0,26364
90,11234,3604030
0,0,1347
60,0,48604
68,7194,1099413
0,5077,2040998
71,0,86985
70,109,46810
61,125,122854
72,131,96669
68,0,83398
0,0,79273
73,257,99898
79,465,501103
0,519,105996
0,557,159980
67,0,49500
60,0,55419
0,822,157828
0,588,144018
64,619,143300
0,474,149398
68,236,159621
0,1810,521907
81,2050,1184604
77,166,65283
58,0,34076
51,349,208046
0,1481,628979
74,0,26006
0,0,14886
93,2768,1579711
94,4866,1830263
93,14209,2796598
75,555,114784
89,2214,549527
86,1404,565848
81,384,212888
0,125,613196
0,0,613196
72,5797,838101
90,36012,4174362
0,5677,2792652
66,0,22060
74,951,193339
71,219,92365
69,0,32642
79,1450,329106
0,0,0
0,0,0
0,0,10940
43,0,14886
0,0,17935
0,0,20087
0,0,18114
0,133,21343
75,179,69050
0,122,27261
84,437,111017
0,0,37305
0,272,64207
0,0,29593
0,0,11299
0,0,31027
0,0,10044
0,0,10402
0,0,27979
0,0,27440
57,0,3946
75,148,78376
0,0,3587
0,0,1076
0,0,11837
0,120,44479
0,623,900694
87,2893,734257
59,375,371433
41,239,69229
79,1349,1033592
76,1084,706637
85,8181,1412737
57,0,13989
70,2053,915938
75,188,274943
83,1888,662159
93,1318,386140
92,1140,352960
0,418,281041
83,396,214861
89,2318,860878
85,237,206073
85,260,267410
91,586,251627
92,1230,344889
80,492,247861
89,558,239432
82,0,101691
82,0,102050
59,110,74968
58,133,14886
79,4031,812095
78,2133,507021
0,1113,199078
0,0,12196
77,772,354933
87,349,98822
79,199,77479
90,382,116219
72,0,21522
0,0,47886
66,150,15424
86,878,233693
80,327,124110
58,0,27082
86,878,233693
0,0,2690
70,404,275481
66,0,236562
79,485,112093
0,0,42865
0,467,127518
81,579,173969
0,399,104023
0,876,268666
85,4541,2683249
0,1539,981222
0,540,364618
0,394,204459
0,615,231361
0,0,539
0,0,19011
0,0,13272
0,0,18473
0,0,29055
0,0,27261
0,0,22419
0,0,13631
0,0,16680
0,0,15424
0,0,15245
0,0,14348
0,0,11658
0,0,9864
0,0,8967
0,0,10044
0,0,11478
0,0,13093
0,0,4304
77,0,47348
79,2524,1910790
0,0,2332
0,169,107251
0,0,16680
65,376,118191
61,1710,289291
50,1794,288035
83,255,1180838
86,7269,1883350
75,129,51832
0,0,34794
65,115,34256
0,0,10044
91,3881,1001129
84,1131,847606
84,1131,847606
84,8853,1512993
81,14960,2800364
65,1726,301666
0,308,650680
91,4146,842943
89,6793,1551374
86,5984,2261060
82,2511,693007
0,2862,693904
0,692,224725
71,1706,417167
0,451,100615
0,384,255573
0,121,218806
77,419,127876
77,419,127876
78,115,93082
63,154,125365
73,187,68512
0,330,46810
72,168,142224
78,0,53087
78,0,1793
78,0,1793
78,0,1793
65,0,32104
63,0,32642
81,2729,582707
0,0,8429
75,938,549886
0,716,117295
64,409,79273
0,0,10940
63,0,11120
0,0,1793
0,377,106892
0,0,5380
0,0,14169
75,7107,661800
84,154,92903
72,0,2870
85,556,139534
85,4267,1272844
66,132,46452
82,783,264720
0,0,6277
82,5452,1034488
75,2701,657854
78,945,542532
70,1088,2162597
64,446,512222
85,1333,1864877
0,0,17397
83,0,39278
84,904,410890
86,15728,3165161
88,25180,4424016
80,550,221317
61,294,40533
44,110,34076
88,3981,1230518
74,5010,1844431
88,3981,1230518
88,3981,1230518
79,970,298796
0,0,19370
0,0,25826
0,0,3049
0,157,23674
65,110,35691
91,343,108865
69,589,162491
86,570,437792
86,5145,839535
61,197,23136
68,243,87164
78,828,211453
90,2685,1035206
72,2086,1003999
78,930,357085
83,149,83039
67,186,357085
73,1096,477429
77,1800,485320
74,2278,464515
91,8031,752730
29,364,87523
89,5428,1105690
94,7792,1728033
76,970,199078
70,2880,656778
70,2880,656778
70,2880,656778
91,15420,2300338
84,41001,4637980
61,342,119806
84,41001,4637980
0,118,20625
79,2172,898362
64,722,408917
63,536,480657
64,213,297362
0,115,168409
66,2466,884911
71,171,191904
63,162,140969
79,0,74071
72,339,207687
0,0,0
73,0,34076
79,1266,1407356
72,234,41250
69,617,66359
79,0,45734
0,207,101153
0,8701,937819
0,8701,937819
0,8701,937819
0,8701,937819
0,8701,937819
72,9610,2414763
76,34196,4355863
0,302,270997
0,0,21163
82,808,348656
54,0,84294
66,271,162491
0,0,32283
0,0,32283
0,0,36229
0,565,158904
70,1363,718474
87,7919,2048172
0,2729,1145865
85,1378,432233
0,984,1117348
77,518,216116
78,1145,180964
83,749,200872
87,14553,1846583
94,7263,1718886
0,2422,105278
0,306,167692
0,104,23136
75,106,40892
0,0,49321
79,203,101512
83,1043,435819
71,0,0
77,537,91827
71,0,81963
75,293,127518
77,3002,509712
79,781,402999
65,135,52729
72,309,106534
0,195,111555
75,162,60261
35,0,3766
73,614,635974
90,5069,1202539
79,623,620908
79,546,119447
0,424,24571
0,0,12196
0,0,6995
65,314,61338
81,121,40892
0,0,0
0,0,21522
0,0,27620
0,200,84115
0,177,48604
0,554,107968
66,2723,764567
0,0,31386
0,150,38381
68,104,47886
80,761,563516
89,0,0
84,0,0
0,0,0
84,0,0
79,0,0
0,4115,378786
66,288,73533
79,310,216296
0,0,216116
0,0,216116
0,0,216116
0,0,216116
0,271,505048
0,0,505048
0,0,505048
0,0,505048
0,0,505048
70,1148,534462
71,5551,1037358
74,1619,572305
30,0,1255
59,305,157648
70,0,9685
77,0,11837
85,0,13810
81,0,13989
81,0,11837
0,0,14348
79,0,11837
0,0,10044
80,0,10402
0,0,11658
68,0,11478
81,0,14707
69,0,12016
73,0,12196
78,0,11120
0,0,2690
0,0,22419
0,0,10582
0,0,34435
0,217,21343
0,180,44479
0,112,44837
0,0,114784
78,132,47169
0,219,132001
71,320,738920
86,1201,534641
0,7820,2501209
91,735,1095467
0,392,837025
0,1141,1205409
59,0,23495
46,280,473124
65,2351,1137794
77,1426,432950
66,0,41430
87,695,421292
0,3147,1357138
59,2061,1044353
76,459,125724
0,0,8788
0,0,16859
0,0,17397
74,0,15603
51,0,12734
65,0,8071
77,0,21522
0,0,17038
0,0,11837
0,0,10761
0,0,13989
0,0,10940
74,0,18114
0,0,17397
0,0,9147
66,5499,1562135
64,120,57213
0,291,83577
0,0,47348
0,313,102050
0,287,121599
0,209,121958
82,142,93082
83,1329,583604
86,8656,1222267
75,540,224187
72,0,10761
51,742,187600
80,2186,221676
76,1667,454472
0,280,236024
0,280,236024
0,0,8788
75,230,135588
0,0,63310
0,290,269921
82,207,148322
0,152,21163
0,294,60979
0,0,7353
56,225,166436
0,881,45913
0,0,3766
0,0,3766
0,0,3946
0,111,43044
0,0,24212
0,0,1076
0,110,42685
0,0,12016
77,1928,1165234
77,1928,1165234
73,15312,4131318
0,178,165898
0,114,20446
63,141,20805
72,2593,481195
72,2593,481195
81,5919,2265365
57,0,10582
65,451,223828
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,15436,2950839
73,233,85012
0,0,71560
94,887,1422601
84,0,1174560
86,780,1193213
83,255,1180838
66,0,18473
69,225,182578
77,0,3228
0,0,2690
72,0,3766
62,0,26902
0,0,22419
0,216,86267
55,2105,984988
52,3682,843302
0,11817,538946
61,195,67256
74,711,363721
91,13356,2817761
0,0,47707
82,1991,976738
91,13356,2817761
0,0,38560
51,102,23853
0,262,53446
76,20235,2752478
68,674,297362
0,660,346145
0,0,24750
80,6891,1533260
84,12617,2645586
84,12617,2645586
0,106,68512
0,261,83039
0,0,7353
0,0,7353
0,0,7353
0,0,1614
0,0,1614
0,0,2332
0,0,2332
0,0,2332
0,0,3228
0,0,3228
0,0,3228
0,0,1614
0,0,1614
0,0,1076
0,0,1076
0,0,1076
0,0,1973
0,0,2332
0,0,0
69,821,425238
0,0,897
0,0,1076
61,114,15783
68,124,96490
0,0,37663
0,0,6995
0,0,8071
0,0,4125
0,0,10223
0,0,5919
71,0,6277
0,0,3946
0,0,5560
0,0,3587
0,0,6815
0,0,4842
0,0,5022
0,0,4304
0,0,4304
0,0,3946
0,0,3587
0,0,4484
0,0,4484
84,527,449450
