QueryName,Metacritic,RecommendationCount,SteamSpyOwners
Counter-Strike: Global Offensive,83,1427633,25833156
Dota 2,90,590480,90687580
Team Fortress 2,92,383949,37878812
Garry's Mod,0,237684,12790674
Unturned,0,222301,27025292
PAYDAY 2,79,219763,7278903
The Elder Scrolls V: Skyrim,94,182587,11428873
DayZ,0,153350,3610845
Rust,0,145688,4684791
Left 4 Dead 2,89,140726,15574539
Terraria,83,139819,8165607
Grand Theft Auto V,96,136846,5886074
Warframe,68,97562,14497544
ARK: Survival Evolved,0,96815,4023708
Rocket League,86,86627,4602110
Borderlands 2,89,86362,6969346
Sid Meier's Civilization V,90,85790,0
Portal 2 - Pre-order,95,73144,0
Portal 2,95,73128,8741499
Fallout 4,84,72929,3866060
Robocraft,0,71023,11319470
H1Z1: Just Survive,0,70765,2631417
Counter-Strike,88,68991,13033334
No Man's Sky,59,68725,820524
Euro Truck Simulator 2,79,68021,3293576
Arma 3,74,63534,2785120
Undertale,92,60314,2105743
Life Is Strange™,0,59864,3446920
Starbound,82,57493,2562188
Tomb Raider,86,55844,4453968
BioShock Infinite,94,55512,4619328
Heroes & Generals,0,54072,12908686
Counter-Strike: Source,88,53931,15433570
Space Engineers,0,53882,2100542
The Forest,0,51125,2436105
The Witcher 3: Wild Hunt,93,50325,2396290
Insurgency,74,48918,3102568
Dark Souls: Prepare to Die Edition,85,47180,2864930
Killing Floor,72,44364,3496958
Call of Duty: Black Ops III - Zombies,0,44352,0
Call of Duty: Black Ops III Beta,0,44352,1338
Call of Duty: Black Ops III,0,44348,1378660
Don't Starve,79,43420,3900853
Mount & Blade: Warband,78,43319,2434133
Chivalry: Medieval Warfare,79,42478,4135801
No More Room in Hell,0,42348,7067629
Fallout: New Vegas,84,41021,574636
